Abdon	30/Jul.
Corona mm.	24/Mai.;14/Mai.;18/Sept.;19/Sept.
Corona v.	21/Avril.
Coronati IV [Severus etc.] mm.	07/Jul.;08/Jul.;03/Nov.;08/Nov.
Coronatorum IV m.	10/Nov.;07/Nov.;09/Nov.
Cosmas	27/Sept.
Craton m. Rom.	15/Fev.
Crescentia mm. Rom.	15/Jun.
Crescentiani m.	27/Nov.
Crescentius ep. Vienn.	29/Dec.
Crispinus	20/Jun.;27/Jun.;24/Oct.
Crispinus ep. Astig.	19/Nov.
Crux Domini (Inv.)	03/Mai.
Cunegundis imp.	14/Mars.;25/Fev.;25/Août.
Cunegundis imp. (Ob. vel Depos.)	29/Mars.
Cunegundis imp. (Tr.)	09/Sept.;10/Sept.
Cunibertus ep. Colon.	12/Nov.
Cuthbertus ep. Lindisf.	19/Mars.;20/Mars.
Cuthbertus ep. Lindisf. (Tr.)	04/Sept.
Cuthburga reg.	31/Août.
Cyprianus	26/Sept.
Cyprianus ab.	09/Dec.
Cyprianus ep. Tolon.	03/Oct.
Cyprianus m. in Afr.	08/Mars.
Cyprianus m. Pictav.	14/Jul.
Cyriacus	08/Août.;23/Août.;07/Août.
Cyriacus m.	16/Mars.;21/Mars.;17/Mars.
Cyrici	17/Jul.
Cyricus	15/Jul.;16/Jun.
Cyrilla v. m. Rom.	29/Oct.
Cyrilli ep. Antioch.	22/Jul.
Cyrillus ep. Gortyn.	09/Jul.
Cyrillus ep. m. in Afr.	09/Mars.
Cyrinus etc. mm. Rom.	12/Jun.;10/Jun.
Cyrinus m. Rom.	24/Mars.
Cyrus	31/Jan.
Dagobertus r.	10/Sept.
Dalmatius ep. Ruthen.	14/Nov.;13/Nov.
Damasi pp.	10/Dec.
Damasius pp.	05/Dec.;04/Dec.
Damasus pp.	11/Dec.
Damiani	12/Fev.
Damiani m.	26/Sept.;02/Oct.
Damianus mm.	27/Sept.
Daniel m. Gerund.	24/Avril.
Daniel pph.	21/Jul.;28/Août.
Daria mm. Rom.	01/Dec.;29/Nov.;26/Oct.;02/Dec.;25/Oct.
Daria mm. Rom. (Tr.)	12/Août.
Darie m.	28/Nov.
Darius m. in Bithyn.	18/Dec.
David abb. Munkatorp.	15/Jul.
David r.	29/Dec.;30/Dec.
Deicolus ab. Lutr.	18/Jan.
Demetius cf.	01/Sept.
Demetrius ep. Vapinc. m.	29/Oct.
Demetrius m.	07/Jul.
Demetrius m. Thessalon.	08/Oct.
Deodati ep. Nivern.	20/Jun.
Deodatus ep. Nivern.	17/Jun.;19/Jun.;22/Jun.
Dergadus	24/Août.
Desiderius ep. Arvern.	11/Fev.;19/Fev.
Desiderius ep. Arvern. (Oct.)	18/Fev.
Desiderius ep. Autissiod.	27/Oct.
Desiderius ep. Lingon. (Tr.)	19/Jan.
Desiderius ep. Lingon. m.	23/Mai.
Desiderius m. [s. Ianuarii]	19/Oct.
Desiderius mm. Rom.	20/Sept.
Diadolus mm. in Afr.	31/Mars.
Didymi m.	22/Dec.
Digna	22/Sept.
Dionysii	16/Oct.
Dionysii m. [Heracl.?]	20/Nov.
Dionysius	08/Fev.
Dionysius (Dedic. eccl.)	21/Jun.
Dionysius ep.	21/Avril.;09/Oct.;09/Jun.;22/Avril.
Dionysius ep. Athen. m.	03/Oct.
Dionysius ep. Corinth. m.	08/Avril.;09/Avril.
Dionysius ep. Vienn.	10/Mai.
Dionysius m. in Afr.	27/Fev.
Dioscorus m. in Aeg.	18/Mai.;17/Mai.
Domini Circumcisio	01/Jan.
Domini Corone spinee (Susc.)	09/Nov.;02/Sept.;04/Mai.;11/Août.
Domini Eductio ex Egypto	07/Jan.
Domini Epiphania	06/Jan.
Domini Epiphania (Oct.)	13/Jan.
Domini Facie [de]	15/Jan.
Domini Nativitas	25/Dec.
Domini Resurrectio	27/Mars.
Domini Sanguinis	26/Mars.
Domini Transfig.	31/Jul.;26/Août.;06/Août.;17/Mars.
Domini Transfig. (Oct.)	13/Août.
Dominicus ab. Sil.	20/Dec.
Dominicus ab. Sil. (Tr.)	11/Jan.
Dominicus cf. Calciatr.	13/Mai.
Dominicus cf. OP	05/Août.;04/Août.
Domitianus ab. Segus.	01/Jul.
Domitilla v. m.	07/Mai.;08/Mai.;06/Mai.
Domninus ep. Dien.	29/Jan.
Domninus ep. Vienn.	03/Nov.
Domninus m. Arvern.	16/Jul.
Domnolenus cf. Petragor.	25/Jun.
Donati	21/Août.
Donati ep. Aretin. m. (Oct.)	14/Août.
Donati ep. m.	01/Avril.
Donati m.	12/Dec.;26/Jul.
Donatianus	25/Mai.;06/Sept.;24/Mai.
Donatianus ep. Catalaun.	08/Août.
Donatianus ep. Rem.	14/Oct.;13/Oct.
Donatus	16/Fev.;23/Fev.;17/Fev.;23/Août.
Donatus cf. Sistar.	18/Août.;19/Août.
Donatus ep.	05/Jul.
Donatus ep. m. Aretin.	07/Août.
Donatus ep. m. in Afr.	06/Nov.;07/Avril.
Donatus ep. [in Libya?]	13/Fev.
Donatus m. Carthag.	01/Mars.
Donatus m. [ep. Thmui?]	22/Mai.
Donatus mm. in Hisp.	12/Jan.
Dormientes VII Ephes.	27/Jun.;09/Août.;26/Jun.;27/Jul.
Dormientium VII Ephes.	28/Jul.;13/Sept.;12/Sept.
Dorothea v. m. Caesar.	05/Fev.;06/Fev.
Dorothei cf.	28/Mars.
Dorothei m.	12/Mars.
Dorotheus	23/Oct.
Dorotheus mm. Nicomed.	08/Sept.;09/Sept.
Drausius ep. Suession.	05/Mars.
Droctoveus ab. Paris.	10/Mars.
Dulcissimi	19/Avril.
Dulcissimus ep. [m. in Etrur.?]	17/Oct.
Dunstanus ep. Cantuar.	19/Mai.
Ebbo ep. Senon.	15/Fev.;27/Août.
Eberhardi ep. Salisb.	22/Jun.
Ebregisilus ep. Meld.	31/Août.
Ebrulfus ab. Ulc.	29/Dec.
Edistius m. Rom.	12/Oct.
Edmundus ep. Cantuar.	17/Nov.
Edmundus r. Angl. m. (Tr.)	09/Jun.
Eduardus r. Angl. [III] cf.	13/Oct.;07/Jan.
Eduardus r. Angl. [II] m.	18/Mars.
Eduardus r. Angl. [II] m. (Tr.)	20/Jun.
Egidii abb.	01/Sept.
Elaphius ep. Catalaun.	19/Août.;18/Août.;22/Août.
Eleazarus mm. Lugdun.	23/Août.
Eleusippus	18/Sept.;17/Jan.
Eleutheri ep.	24/Nov.
Eleutherius (Ded. eccl.)	13/Août.
Eleutherius ab. Rom.	06/Sept.
Eleutherius ep.	18/Avril.;17/Avril.
Eleutherius ep. Autissiod.	26/Août.
Eleutherius ep. [Tornac.?]	20/Fev.
Eleutherius pp. m.	21/Mai.;26/Mai.
Elfegius ep. Cantuar.	19/Avril.
Eligius ep. Noviom.	02/Dec.;01/Dec.
Eligius ep. Noviom. (Tr.)	26/Jun.;25/Jun.
Eliphius m. Tull.	16/Oct.
Elisabeth	15/Oct.
Elisabeth landgr. Thuring.	19/Nov.
Elisabeth landgr. Thuring. (Elev.)	02/Mai.
Elisabeth vid. landgr. Thuring. (Oct.)	26/Nov.
Elisabeth vid. landgr. Thuring. (Tr.)	01/Mai.
Eliseus pph.	13/Jun.
Eloquii mon.	03/Dec.
Elpidius ep. Lugdun.	02/Sept.
Elzearius Sabr. cf.	27/Sept.
Emanus m. Carnot.	16/Mai.
Emerentiana v. m. Rom.	23/Mars.;23/Jan.;29/Jan.
Emerite v. m.	04/Dec.
Emeterius	03/Mars.
Emilii m.	22/Mai.
Emmerani ep. Ratisb. m.	23/Sept.
Emmerannus ep. Frising.	22/Sept.
Engratia v. m. Caesaraug.	16/Avril.
Enimia v. Mimat.	06/Oct.
Eparchius pb. Engolism.	01/Jul.
Ephrem d.	08/Jul.;09/Jul.
Epimachus mm.	10/Mai.
Epiphania Domini	06/Jan.
