Abdon	30/Jul.
Leontius ep. Burdegal.	11/Jul.
Leontius ep. Foroiul.	01/Dec.
Leontius ep. Petragor.	19/Nov.
Leontius ep. Xanton.	19/Mars.
Leopoldi march. Austr. (Tr.)	15/Fev.
Leucius	28/Jan.
Leucius (Tr.)	12/Août.
Leucius cff. Alexand.	11/Jan.
Leudomirus ep. Campan.	30/Sept.
Leutfredus ab. Ebroic.	21/Jun.
Libaria v. Tull.	08/Oct.
Liberalis cf. Altin.	27/Avril.
Liberate v.	31/Jan.
Liberii cf.	17/Mai.
Liberius ep. Pictav.	19/Jul.
Liberius ep. [Raven.?]	24/Avril.
Liborii ep. Cenoman.	20/Jul.
Liborii ep. Cenoman. (Adv. reliq.)	28/Mai.
Liborius ep. Cenoman.	09/Jun.;23/Jul.
Liborius ep. Cenoman. (Tr.)	29/Avril.
Licerius ep. Consor.	27/Août.
Licerius ep. Consor. (Oct.)	03/Sept.
Licinius ep. Andegav.	13/Fev.
Lidorius ep. Turon.	13/Sept.
Lifardus ep. m. in Belg.	04/Fev.
Lini pp. m.	15/Nov.
Linus pp. m.	04/Oct.;27/Nov.;23/Sept.;07/Oct.;26/Nov.
Liuctrudis v.	22/Sept.
Liutgerus ep. Westfal.	26/Mars.
Liutwini ep. Trever.	29/Sept.
Livarius ep. Mett.	25/Nov.
Livinus ep. m.	11/Nov.
Longinus m.	02/Dec.;29/Oct.;21/Nov.
Longinus m. Caesar.	23/Août.
Longinus m. in Cappad.	15/Mars.
Lucas ev.	18/Oct.
Lucas ev. (Tr.)	09/Mai.
Lucia	16/Sept.
Lucia v. m. Syrac.	13/Dec.
Luciana	16/Fev.
Lucianus	08/Jan.;07/Jan.;15/Jan.;26/Oct.;09/Jan.
Lucianus ep.	12/Fev.
Lucianus m. Caesar.	07/Jun.
Lucianus mm. in Afr.	13/Jun.
Lucii r. (Oct.)	10/Dec.
Lucii r. (Tr.)	09/Oct.
Lucilla mm. Aretin.	30/Jul.
Lucius ep. Caesar. [vel pp.]	02/Mars.
Lucius m. Rom.	19/Oct.
Lucius pp.	05/Mars.;03/Mars.;04/Mars.
Lucius r. Britann.	03/Dec.
Ludovicus ep.	21/Août.
Ludovicus ep. Tolos. OFM	20/Août.;19/Août.
Ludovicus ep. Tolos. OFM (Tr.)	08/Nov.
Ludovicus r. Franc.	24/Sept.;25/Août.;26/Août.
Ludovicus r. Franc. (Tr. cap.)	07/Mai.;06/Jun.;16/Mai.;21/Mai.;08/Mai.
Lupercus	30/Oct.
Lupi ep. Cabilon.	30/Jan.
Lupicinus ep. Lugdun.	03/Fev.
Lupus ep. Andegav.	17/Oct.
Lupus ep. Baioc.	25/Oct.
Lupus ep. Cabilon.	27/Jan.
Lupus ep. Lemovic.	22/Mai.
Lupus ep. Lugdun.	25/Sept.
Lupus ep. Senon.	02/Sept.;01/Sept.
Lupus ep. Trec.	28/Jul.;29/Jul.;26/Jul.
Lupus ep. Trec. (Tr.)	22/Jul.
luventii ep. Ticin. m.	08/Fev.
Macchabaei mm.	01/Août.
Macedonius pb. m. Nicomed.	13/Mars.
Macharii abb.	09/Mai.
Macharii ep.	28/Fev.
Macharius ab.	12/Août.;23/Jan.
Macharius ab. Alexand.	02/Jan.
Machutus [Maclovius] ep. in Armor.	15/Nov.
Machutus [Maclovius] ep. in Armor. (Tr.)	10/Jul.
Magnerici ep. Trever.	25/Jul.
Magnus ep. m. in Ital.	18/Août.
Magnus ep. m. [Forosempr.?]	04/Fev.;03/Fev.
Maianus ep. in Vascon.	01/Jun.
Maiolus mm. in Afr.	19/Fev.
Malulfus ep. Silvanect.	04/Mai.
Mamertus ep. Vienn.	11/Mai.;10/Mai.;14/Mai.
Mammes (Ded. eccl.)	26/Août.
Mammes m. Caesar.	17/Août.;21/Août.
Mansius m. in Lusitan.	20/Mai.
Mansuetus	30/Dec.
Mansuetus cff.	08/Oct.
Mansuetus ep. Tull.	03/Sept.;06/Sept.
Mansuetus ep. Tull. (Tr.)	13/Jun.
Mansuetus mm. Ruthen.	16/Oct.
Marcelli pp. (Exc. capitis)	05/Sept.
Marcellinus ep. Autissiod.	13/Mai.
Marcellinus ep. Ebredun.	20/Avril.;21/Avril.
Marcellinus ep. Ebredun. (Oct.)	27/Avril.
Marcellinus pb.	02/Jun.
Marcellinus pp.	26/Avril.
Marcellus	06/Oct.
Marcellus centurio m.	30/Oct.
Marcellus ep. Anic.	11/Sept.
Marcellus ep. Paris (Oct.)	08/Nov.
Marcellus ep. Paris.	03/Nov.;26/Nov.;07/Nov.
Marcellus ep. Paris. (Tr.)	26/Jul.
Marcellus m. Cabilon.	04/Sept.
Marcellus pp.	01/Nov.;16/Jan.
Marcellus pp. (Tr.)	06/Jan.
Marciana v. Albig.	02/Nov.;05/Nov.
Marcianus m. in Aeg.	05/Jun.
Marcianus mm. Campan.	17/Jun.
Marcianus mm. Nicomedia	26/Oct.
Marcus	03/Oct.;18/Jun.;04/Oct.
Marcus ev.	25/Avril.
Marcus pb. m. Rom.	21/Jun.
Marcus pp.	07/Oct.;18/Mai.
Margareta v. m. Antioch.	12/Jul.;20/Jul.;13/Jul.
Margareta [reg. Scot.?]	14/Jun.
Margarite v. m.	15/Jul.
Maria Aegypt.	01/Avril.;07/Août.;28/Mars.;09/Avril.;02/Avril.
Maria Aegypt. (Tr.)	04/Août.
Maria B.V. (Annuntiatio)	25/Mars.
Maria B.V. (Assumptio)	15/Août.
Maria B.V. (Concept.)	08/Dec.
Maria B.V. (Expect.)	18/Dec.
Maria B.V. (Nativ.)	08/Sept.
Maria B.V. (Purificatio)	02/Fev.
Maria B.V. (Visit.)	02/Jul.
Maria Iacobi	26/Mai.;22/Oct.;25/Mai.;22/Mai.
Maria Magdal.	22/Jul.
Maria Magdal. (Costae recept.)	14/Nov.
Maria Magdal. (Revel.)	18/Avril.
Maria Magdal. (Tr.)	19/Mars.;05/Mai.
Maria Salome (Oct.)	29/Oct.
Maria v. (Praesent.)	21/Nov.
Mariani cf.	28/Oct.
Marie B.V. (ad Nives)	31/Août.
Marie B.V. (Assumpt., oct.)	22/Août.
Marie B.V. (Compass.)	18/Jul.;19/Jul.
Marie B.V. (Concept., oct.)	12/Dec.
Marie B.V. (Nativ., oct.)	15/Sept.
Marie B.V. (Purif., oct.)	09/Fev.
Marie B.V. (Trices. [!] Assumptionis)	23/Sept.
Marie B.V. (Visit., oct.)	09/Jul.;08/Jul.
Marie Magdalene (Conv.)	01/Mars.
Marii ep. Aventic.	31/Dec.
Marii ep. Trever.	26/Jan.
Marina v. Alexand.	19/Jun.
Marina v. in Gallaec.	16/Jul.;17/Jul.
Marinus	03/Mars.
Marinus ab. Condat.	03/Jan.
Marinus m.	25/Jan.
Marius	19/Jan.
Marius ab. Bodan.	27/Jan.
Marius ep.	14/Jan.
Martha	17/Dec.;17/Oct.
Martha hosp.	29/Jul.;30/Jul.;27/Jul.;28/Jul.
Marthe hosp.	31/Jul.
Martiala v.	28/Nov.
Martialis	20/Fev.
Martialis ep. Lemovic.	16/Jun.;03/Jul.;09/Jan.;30/Jun.;06/Jul.;07/Jul.
Martialis ep. Lemovic. (Oct.)	14/Jul.
Martialis ep. Lemovic. (Tr.)	13/Oct.;10/Oct.
Martialis mm. in Afr.	28/Sept.
Martiana mm. Interamn.	03/Avril.;04/Avril.;05/Avril.
Martianus m. Rom.	27/Mars.
Martina v. m. Rom.	01/Jan.
Martine v.	20/Jun.
Martini ep. Turon. (Tr. capitis)	01/Dec.
Martiniani m.	11/Jul.
Martinus ab. Vertav.	23/Oct.
Martinus ep. Turon.	11/Nov.
Martinus ep. Turon. (Ord.	04/Jul.;05/Jul.
Martinus ep. Turon. (Revers.)	13/Dec.
Martinus m. Brivat.	09/Août.
Martinus pp. m.	12/Nov.
Martinus [pp. ?]	16/Sept.
Marturius	13/Août.
Martyres LXX Sicil.	21/Fev.
Martyres Thebaei (Commem.)	24/Nov.
Martyres XL Sebast.	10/Mars.;11/Mars.;08/Mars.;09/Mars.
Martyres XLVII Rom.	14/Mars.
Martyrum CM Rom.	04/Mars.
Martyrum XVII	16/Avril.
Martyrum XX Tarsi	06/Jun.
Masona mm. Emerit.	11/Dec.
Mastidia v. Trec.	07/Mai.
Materni ep. Trever.	14/Sept.;19/Sept.
Maternus ep. Colon.	13/Sept.
Mathias ap.	07/Fev.;24/Fev.
Mathurinus cf.	09/Nov.
Matrona v. m. Barcin.	15/Mars.
Matthaeus ap.	21/Sept.
Matthaeus ep. Hierosol.	30/Jan.
Matthei abb.	22/Mars.
Matthie ap. (Inv.)	01/Sept.
Matthie ap. (Tr. Mediol.)	08/Fev.
Matthie ap. (Tr.)	11/Août.
Matthie, Rustici, Venantii (Tr.)	16/Nov.
Maudetus ab. in Armor.	18/Nov.
Maura vv. mm. Raven.	13/Fev.
Mauri CCC m. Colon. (Tr.)	25/Jun.
Maurilius ep. Andegav. (Tr.)	16/Août.;19/Oct.
Mauritius	22/Sept.
Mauritius (Brachii tr.)	02/Dec.
Maurontus ep. Massil.	21/Oct.
Maurus	05/Oct.
Maurus ab. Fossat.	15/Jan.
Maurus ab. Fossat. (Tr.)	12/Mars.
Maurus mm. Rom.	29/Jan.;03/Dec.
Maxentie matr. s. Vigilii	30/Avril.
Maxentius ab. Pictav.	26/Jun.
Maxima v. Foroiul.	16/Mai.
Maximianus	07/Jan.;08/Jan.
Maximini ep.	29/Avril.
Maximinus ab. Aurelian.	20/Août.
Maximinus ep. Aq.	07/Jun.
Maximinus ep. Aq. (Tr.)	08/Avril.
Maximinus ep. Trever.	28/Mai.;30/Mai.;10/Jun.;29/Mai.
Maximus	15/Avril.;02/Oct.;13/Avril.;18/Fev.
Maximus ep. Reg.	27/Nov.
Maximus ep. Reg. (Relat.)	04/Dec.
Maximus ep. Trever. (Inv.)	12/Sept.
Maximus etc. mm. Ost.	23/Août.
Maximus m. Aquil.	20/Oct.
Maximus mm. Rom.	14/Avril.
Maximus pb. Rom.	19/Nov.
Medardus ep. Noviom.	08/Jun.;01/Oct.
Medardus ep. Noviom. (Revel.)	09/Sept.
Medericus ab. Paris.	29/Août.
Medrisma v. Suession.	22/Nov.
Meginradi erem. m.	21/Jan.
Melanius ep. Redon.	04/Jan.;11/Oct.;06/Nov.;12/Oct.
Melchiades pp.	10/Dec.
Meleusippus mm.	17/Jan.
Meleusippus mm. (Inv.)	18/Sept.
Mellitus ep. Londin.	24/Avril.
Melorus ep. in Armor.	06/Mai.
Memmius ep. Catalaun.	05/Août.
Memmius ep. Catalaun. (Tr.)	20/Dec.;16/Dec.
Memorius	07/Sept.;02/Mai.
Mendrias	19/Août.
Mercurius m. Caesar.	25/Nov.
Metrannus m. Alexand.	31/Jan.
Metropia v. m. Perus.	01/Mai.
Mevennus ab. in Armor.	22/Jun.
Michael (Appar.)	15/Oct.
Michael archang. (Appar. in M. Tumba)	08/Mai.
Michael archang. (Dedic. eccl.)	29/Sept.
Milburge v.	23/Fev.
Militum X mil. [Achatius etc.] m.	23/Jun.
Miniatus m. Florent.	25/Oct.
Mitrius m. Aq.	13/Nov.
Mitrius m. Aq. (Oct.)	20/Nov.
Mitrius m. Aq. (Tr.)	24/Oct.
Moderannus ep. Redon.	15/Mai.
Modeste v. Trever.	04/Nov.
Modestus	10/Nov.;15/Jun.
Monegundis v.	01/Jul.
Monica vid. [m. Augustini] [Tr.]	11/Avril.
Monice vid. matr. s. Augustini	26/Fev.;25/Fev.
Mononis erem. m.	18/Oct.
Montanus pb. m. Sirm.	26/Mars.
Morandus mon. Cluniac.	03/Jun.
Moyses [anach. in Syria?]	27/Fev.
Mummolus m. Burdegal.	08/Août.
Mutius	15/Dec.
Naamatius d. Ruthen.	02/Nov.
Nabor	12/Jul.;18/Avril.;19/Avril.
Naboris m.	12/Jun.
Namphisius er. Cadurc.	12/Nov.
Narcisci ep. Hierosol. (Oct.)	05/Nov.
Narcissus ep.	05/Août.
Narcissus ep. Hierosol.	29/Oct.
Nason disc.	11/Jul.
Natalie m. [ux. Adriani]	04/Mars.
Nathanael disc.	02/Avril.
Nativitas Domini	25/Dec.
Navalis	16/Dec.
Nazarii	27/Jul.
Nazarius	29/Jul.;28/Jul.;06/Nov.;08/Mai.
Nectarius ep. Aeduen.	19/Jul.
Nemesius	20/Fev.
Nemesius m. in Aeg.	19/Dec.
Neophyte v. m.	04/Fev.
Neoti cf. in Angl.	31/Jul.
Nerei	11/Mai.
Nereus	12/Mai.
Nestorius ep. m. in Pers.	26/Fev.
Nicander	17/Jun.
Nicasii ep. Rem.	27/Nov.
Nicasius ep. Rem.	23/Jul.;14/Dec.;15/Dec.;10/Dec.;04/Dec.
Nicasius ep. Rotomag.	11/Oct.;17/Oct.;12/Oct.
Nicephorus m. in Afr.	01/Mars.
Nicetii ep. Trever.	01/Oct.;02/Oct.
Nicetius ep. Bisunt.	06/Fev.
Nicetius ep. Lugdun.	12/Jan.
Nicetius ep. Trever.	06/Mai.;05/Mai.
Nicodemi	03/Août.
Nicolai (Initium signorum)	26/Mai.
Nicolai ep. Myr. (Oct.)	12/Dec.;13/Dec.
Nicolai ep. Myr. (Tr.)	09/Jul.
Nicolai Tolent. pb.	03/Sept.
Nicolai Tolent. pb. (Oct.)	17/Sept.
Nicolaus (Dedic. eccl.)	21/Jun.
Nicolaus ep. (Tr.)	18/Jul.
Nicolaus ep. Myr.	06/Dec.
Nicolaus ep. Myr. (Tr.)	09/Mai.;10/Mai.
Nicolaus Tolent. OESA	10/Sept.
Nicolaus Tolent. OESA (Canon.)	05/Jun.
Nicomedes	13/Fev.
Nicomedes pb. m. Rom.	15/Sept.
Nicomedes pb. m. Rom. (Dedic. eccl.)	01/Jun.
Nicostrati etc. m.	07/Jul.
Niniani ep. Candide Case	16/Sept.
Nivardus ep. Rem.	01/Sept.
Nonnosi prepos. M. Soract.	02/Sept.
Norberti ep. [abb. Premonstr.] (Anniv.)	06/Jun.
Numeriani ep. Trever.	05/Jul.
Nummius cf. Paris.	08/Jul.
Nummius cf. Paris. [Ninivius!]	13/Jul.
Nuncii cf.	10/Oct.
Nunilo	21/Oct.
Nympha mm. Rom.	10/Nov.
Oda v. in Brabant.	21/Nov.
Odaldus	17/Jul.
Ode vid.	24/Oct.;23/Oct.
Odilia ab. Altimont.	13/Dec.
Odilo ab. Cluniac.	12/Avril.;02/Jan.
Odilo ab. Cluniac. (Except. reliq.)	19/Avril.
Odo ab. Cluniac.	19/Nov.
Odo ab. Masciac.	07/Jun.
Odulfus ep. Traiect.	12/Jun.
Odwinus pb. in Brabant.	11/Sept.
Olavi r. m. (Tr.)	03/Août.
Olavus r. Norveg.	29/Jul.
Oliverie	31/Jan.
Olympias m. in Pers. [soc. Maximi]	15/Avril.
Olympias mm. in Pers.	13/Avril.
Olympii m.	03/Dec.
Olympius m. Ost.	18/Sept.
Olympius m. Rom.	04/Dec.
Onesimus ap.	16/Fev.
Onesimus ep. Suession.	12/Mai.
Onuphrii erem.	08/Jun.;13/Jun.;10/Jun.
Onuphrius er. in Aeg.	11/Jun.
Opportuna ab. Sag.	22/Avril.
Optatus ep. Autissiod.	31/Août.
Optatus ep. Noviom.	27/Nov.
Orantus cf.	05/Mars.
Orientius	22/Sept.
Orientius ep. Ausc.	01/Mai.;02/Mai.
Orontius	27/Oct.;22/Jan.;30/Jan.;23/Sept.
Osmanna v.	09/Sept.
Osmanna v. in Hibern.	16/Août.
Oswaldus r. Northumbr. m.	05/Août.;04/Août.
Otgeri cf.	10/Sept.
Othmari abb. s. Galli	13/Nov.
Otmarus ep. in Helvet.	16/Nov.;15/Nov.
Ottilie v.	29/Jan.;17/Fev.
Ottonis cf. (Oct.)	08/Oct.
Ottonis ep. (Oct.)	07/Oct.
Ottonis ep. Babenb.	02/Oct.;01/Oct.
Ottonis ep. Babenb. (Tr.)	30/Sept.;01/Jul.
Pachomius ab.in Theb.	14/Mai.;13/Mai.
Pacianus ep. Barcin.	09/Mars.
Palatinus m.	04/Mars.
Palladius ep. Autissiod.	10/Avril.
Pancratii m. Rom.	12/Mai.
Pancratius ep. m. in Sicil.	03/Avril.
Pantaleon m. Nicomed.	27/Jul.
Pantaleon mm.	13/Fev.
Pantaleonis m.	10/Jun.
Pantali ep. Basil.	12/Oct.
Papias	29/Jan.
Papulus m. in Aquitan.	03/Nov.
Papylus mm. in As.	12/Avril.
Parduinus ab.	16/Nov.
Pardulfus (Oct.)	26/Août.
Pardulfus cf.	06/Sept.
Pardulfus [seu Bardulfus, Bertulfus] ab. Bobb.	07/Oct.
Parmenas d.	23/Jan.
Partemia v.	25/Août.
Parthemius ep.	17/Nov.
Paschasia v. m. in Burgund.	09/Jan.
Paschasius Radbertus ab. Corb.	26/Avril.
Pastor m. Rom.	26/Jul.
Pastor mm. Complut.	06/Août.;07/Août.
Pastor mm. Complut. (Revel.)	27/Fev.
Pastor [m. Nicomed.?]	30/Mars.;29/Mars.
Paternus ep. Abrinc.	23/Sept.
Paternus m. Senon.	12/Nov.
Patiens ep. Mett.	08/Jan.
Patricius ep. in Hibern.	17/Mars.;16/Mars.
Patroclus m. Trec.	22/Jan.;31/Jan.;21/Jan.
Paula vid.	27/Jan.
Pauli ap. (Commem.)	24/Oct.
Pauli primi erem. (Tr.)	14/Nov.
Paulini ep. Nol.	21/Jun.
Paulinus ep. Capuan.	07/Jun.;10/Oct.
Paulinus ep. Nol.	22/Jun.
Paulinus ep. Trever.	31/Août.
Paulus	11/Dec.
Paulus ap. (Commem.)	30/Jun.
Paulus ap. (Conv.)	25/Jan.
Paulus ep. Brixien.	07/Fev.
Paulus ep. Leon.	12/Mars.
Paulus ep. Narbon.	23/Mars.;12/Dec.;22/Mars.
Paulus ep. Tricastin.	01/Fev.
Paulus ep. Virdun.	08/Fev.
Paulus er.	10/Jan.
Paulus mm. Rom.	26/Jun.
Paulus [m. Antioch.?]	28/Août.
Pavatius ep. Cenoman.	24/Jul.
Pecinna v. Pictav.	25/Jun.
Pelagia v. m. Antioch.	08/Oct.
Pelagii	19/Sept.
Pelagii m.	30/Août.
Pelagius ep. Ebredun.	07/Jan.
Pelagius pp.	26/Fev.
Pelusius pb. Alexand.	07/Avril.
Peregrinus	04/Août.
Peregrinus ep. Autissiod. m.	16/Mai.;05/Mai.
Peregrinus pb. Lugdun.	28/Jul.
Perfectus pb. m. Cordub.	18/Avril.;17/Avril.
Pergentinus mm. Aret.	03/Jun.
Perpetua	06/Mars.;07/Mars.
Perpetua v. m. in Afr.	04/Nov.
Perpetui ep. [Turon.?]	05/Avril.
Perpetuus ep. Turon.	08/Avril.;30/Dec.
Petri ap.	19/Jul.;06/Jul.
Petri ap. (ad Vincula)	01/Août.
Petri ap. (ad Vincula, oct.)	08/Août.
Petri m. O.P. (Oct.)	06/Mai.
Petrocus m. in Cornub.	04/Jun.
Petronii ep. Bonon.	04/Oct.
Petronilla v.	31/Mai.
Petrus	29/Jun.;11/Jan.;09/Dec.;18/Nov.
Petrus ap. (Cathedra)	22/Fev.
Petrus ap. (Reliq. deport.)	27/Août.
Petrus Caelestinus pp.	17/Mai.;20/Mai.
Petrus Caelestinus pp. (Tr.)	15/Fev.
Petrus d. m. Antioch.	16/Avril.
Petrus de Luxemb. ep. Mett.	05/Jul.
Petrus ep. Alexand. m.	25/Nov.;28/Nov.;26/Nov.
Petrus m. O.P.	28/Avril.;30/Avril.;29/Avril.
Petrus m. [in Afr.?]	14/Mars.
Petrus mm. Rom.	02/Jun.
Petrus Parentii m. Urbevet.	21/Mai.
Phileas ep.	04/Fev.
Philibertus ab. Gemmetic.	20/Août.;19/Août.;23/Août.
Philibertus [ab.?]	01/Jul.
Philippi ep. [seu m. Alexand.?]	13/Sept.
Philippus	01/Mai.
Philippus ap. (Cap. except.)	08/Mai.
Philippus ap. (Tr.)	21/Avril.;22/Avril.
Philippus diac.	06/Jun.
Philippus ep. Firm.	22/Oct.
Philippus m.	07/Sept.
Phocas ep. m. Sinop.	14/Jul.;13/Jul.;07/Jul.;15/Jul.
Phocas m. Antioch.	05/Mars.
Photinus mm. Nicomed.	02/Sept.
Phronymi ep. Mett.	16/Jun.
Piato pb. m. Tornac.	03/Oct.;05/Oct.;01/Oct.
Pigentius	30/Oct.
Pigmenius ep. Brix. m.	17/Fev.;18/Fev.
Pigmenius pb. m. Rom.	18/Mars.;24/Mars.
Pinnose v. [e Virg. XI mil.]	28/Fev.
Pius pp. m.	11/Jul.
Placidus ep. Aeduen.	07/Mai.
Plato m. Ancyr.	22/Jul.
Polycarpi cf.	27/Oct.
Polycarpus ep. m. Smyrn.	26/Jan.
Polycarpus pb. Rom.	23/Fev.
Polyorcedes v.	20/Jun.
Pontiani m.	14/Jan.
Pontianus pp. m.	20/Nov.;19/Nov.
Pontius d. Carthag.	08/Mars.
Pontius m. Cimell.	11/Mai.;18/Mai.
Porcarius ab. Lirin.	12/Août.
Portiuncule festum	02/Août.
Possessor ep. Virdun.	04/Dec.
Possessor ep.Virdun.	04/Mai.
Potamie etc. m.	05/Dec.
Potamius mm. Cypr.	20/Fev.
Potentiana	02/Dec.
Potentiana v.	19/Mai.
Potentianus mm. Senon.	31/Dec.
Potentianus mm. Senon. (Tr.)	02/Mars.;19/Oct.
Pothinus ep.	01/Jun.
Praecordius pb. Corb. (Tr.)	05/Jun.
Praeiectus ep. Arvern. m. (Tr.)	12/Jul.
Pragmatius ep. Aeduen.	22/Nov.;21/Nov.
Praxedes v. Rom.	21/Jul.;20/Jul.;18/Jul.
Primael er. in Armor.	15/Mai.
Primianus m. [soc. Firmiani]	06/Oct.
Primitivus mm. in Gallaec.	27/Nov.
Primus	09/Jun.
Principius ep. Suession.	26/Sept.
Prisca v. m. Rom.	19/Jan.;18/Jan.
Priscus	28/Mars.
Priscus ep. m. Capuan. m.	01/Sept.;17/Oct.;16/Oct.
Priscus m. Autissiod.	26/Mai.
Privatus ep. Mimat. m.	21/Août.;14/Oct.
Probus	11/Oct.
Processi	03/Jul.
Processus	02/Jul.
Prochorus d.	09/Avril.
Procopii duc. m.	09/Jul.
Procopius m. Caesar.	08/Jul.;04/Jul.
Procopius m. [Caesar.?]	27/Mai.
Prosdocimus ep. Patav.	07/Nov.
Prosper ep. [Ingolst.?]	24/Nov.
Protasii ep. Lausan.	06/Nov.
Protasius mm. Mediolan.	19/Jun.
Protasius mm. Mediolan. (Tr.)	13/Dec.
Prothadius ep. Bisunt.	10/Fev.
Proti	10/Sept.
Proti (Inv. corp.)	13/Avril.
Proti m.	14/Jun.
Protus	11/Sept.
Prudentius ep. Trec.	27/Jun.;06/Avril.
Prudentius m. Lemovic.	13/Nov.
Psalmodius er.  Lemovic.	17/Dec.
Publius mm. in Afr.	19/Fev.
Puer. III m.	24/Jan.
Pueri III [Ananias, Azarias, Misael] mm.	16/Dec.
Puerorum III [Ananie, Azarie, Misahel]	15/Dec.
Pusinne v.	23/Avril.
Quinidus ep. Vasion.	15/Fev.
Quintianus ep.	19/Nov.
Quintianus m. in Armen.	01/Avril.
Quintini m.	30/Oct.
Quintinus m. Turon.	04/Oct.
Quintinus m. Viromand.	31/Oct.;29/Oct.;03/Nov.
Quintinus m. Viromand. (Elev.)	02/Mai.
Quintinus m. Viromand. (Inv.)	02/Jan.;02/Sept.;24/Jun.;07/Jul.;13/Jul.
Quintinus m. Viromand. (Tr.)	25/Oct.
Quintinus [= Quirinus ?]	30/Mars.
Quintinus [m. Capuan.?]	05/Sept.
Quintolini m.	07/Mars.
Quintus	19/Mars.;11/Jan.
Quiriaci d.	16/Mars.
Quiriaci ep. Trever.	20/Sept.
Quiriaci m.	12/Fev.;17/Jun.;19/Dec.
Quiriaci pb. Trever.	06/Mars.
Quiriacus ep.	14/Avril.;15/Avril.
Quiriacus ep. Hierosol. m.	05/Mai.;04/Mai.;01/Mai.;09/Mai.
Quiriacus m. in Achaia	12/Jan.
Quirille v. m. [al. Cyrilla]	27/Oct.
Quirini ep. m.	20/Oct.;02/Jun.
Quirini m.	24/Mars.;09/Jan.
Quirini m. (Tr.)	16/Jun.
Quirinus ep. m. in Pannon.	06/Jun.;04/Jun.
Quirinus m. Rom.	30/Avril.;29/Avril.
Quirinus mm. (Tr.)	07/Jun.
Quiteria v. Atur.	24/Mai.;22/Mai.
Racho ep. Aeduen.	05/Dec.;28/Jan.
Radbodi ep. Traiect.	29/Nov.
Radbodi ep. Traiect. [Tr.?]	25/Jun.
Radegundis reg.	13/Août.
Ragenfredis v.	20/Nov.
Raimundus ep. Balbastr.	20/Jun.
Ranulfus m. Atrebat.	27/Mai.
Raphael archang.	06/Oct.
Ravennus	23/Jul.
Regina v. Ales.	07/Sept.
Regine v. m.	05/Sept.;06/Sept.;09/Sept.
Reginswindis v. m.	15/Jul.
Regis III (Ob.)	11/Jan.
Regnobertus ep. Baioc.	16/Mai.
Regnobertus ep. Baioc. (Elev.)	21/Août.
Regnobertus m.	03/Oct.
Regnobertus m. in Bress.	13/Jun.
Regula mm. in Helvet.	11/Sept.
Reguli ep. Silvanect.	31/Mars.
Regulus ep. Arelat.	22/Avril.;23/Avril.
Regulus ep. Silvanect. (Tr.)	30/Mars.;29/Mars.
Reimberti ep. Brem.	09/Mars.
Reimberti ep. Brem. (Depos.)	11/Jun.
Reimberti ep. Brem. (Elev.)	04/Fev.
Reinoldi m.	07/Jan.
Reliquiarum festum	15/Jun.
Reliquiarum inv. Baioc.	01/Jul.
Remaclus ep. Traiect.	02/Sept.;03/Sept.
Remigius ep. Rem.	21/Oct.;01/Oct.;19/Jan.
Remigius ep. Rem. (Depos.)	15/Jan.;13/Jan.;14/Jan.
Remigius ep. [Lugdun?]	01/Nov.
Renatus ep. Andegav.	12/Nov.
Renatus ep. Andegav. (Tr.)	19/Août.;18/Avril.
Reparata v. m. Caesar. Palest.	08/Oct.
Reparate v. m.	13/Oct.
Respicius	10/Nov.
Restituta v. m. in Campan.	13/Mai.;01/Mai.
Restitutus ep. m. Rom.	28/Mai.
Restitutus ep. Tricastin.	09/Nov.;06/Nov.;07/Nov.
Restitutus etc. mm. Antioch.	23/Août.
Reverentius pb. Baioc.	12/Sept.
Reveriani ep. Eduen.	01/Jun.
Revocatus	09/Jan.
Revocatus mm. [soc. Perpetuae]	06/Mars.
Richardis imp. v.	18/Sept.
Richardus ep. Cicestr.	02/Avril.;03/Avril.
Richardus ep. Cicestr. (Tr.)	16/Jun.
Richardus r. Angl.	07/Fev.
Richarius ab. Centul.	09/Oct.;26/Avril.
Rictrudis ab. Marchian.	12/Mai.
Rigobertus ep. Rem.	08/Jan.
Rigomerus pb. Cenoman.	25/Août.;24/Août.
Robertus ab. Casae Dei	24/Avril.
Robertus ab. Molism.	29/Avril.
Rochi cf.	20/Août.;17/Août.;17/Sept.
Rochus can. M. Pessul.	16/Août.
Rogati m.	10/Jun.
Rogatiani pb.	26/Oct.
Rogatianus mm.	24/Mai.;25/Mai.
Romani mil. m. Rom.	08/Août.
Romanus	18/Nov.;11/Mars.
Romanus ab. Autissiod.	21/Mai.;22/Mai.;23/Mai.;20/Mai.
Romanus ab. Condat.	28/Fev.
Romanus ep.	19/Oct.
Romanus ep. Autissiod.	05/Oct.
Romanus ep. Rotomag.	23/Oct.
Romanus ep. Rotomag. (Tr.)	17/Jun.
Romanus m.	19/Nov.;31/Jan.
Romanus m. Rom.	09/Août.
Romanus m.Gerund.	17/Mai.
Romanus pb. Blav.	24/Nov.
Romaricus ab. Montis	08/Dec.
Romualdi abb. Camald.	19/Jun.
Romualdi abb. Camald. (Oct.)	26/Jun.
Romuli m.	17/Fev.
Rudesindis ep. Dum. in Hispan.	01/Mars.
Rudesindis ep. Dum. in Hispan. (Tr.)	31/Août.
Rufi ep. Capuan. m.	26/Août.
Rufi ep. Mett.	11/Mai.
Rufina	10/Jul.;19/Jul.
